,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission
7,2015,6.5,0.11354871997356338,-0.09047281830902404,1,0,1
8,2016,8.75,0.14594069844422397,-0.4287874037589191,1,0,1
10,2017,2.85,-0.4660363233764687,-0.8952171659123241,2,0,1
11,2015,6.85,0.3183122981630958,0.3613761920999229,1,0,1
22,2011,4.4,0.04413733753643382,0.3356605805576688,2,0,0
25,2011,3.0,-0.3052332873971184,-0.43580776570995444,2,0,1
32,2014,4.95,-0.016019193909078445,0.052788853592873594,1,0,1
34,2014,5.5,0.049921619406194696,0.20708252284639825,1,0,1
35,2011,2.95,0.012902215439725551,0.3356091493345843,0,0,1
39,2003,2.25,0.04066676841457741,0.6442479190647181,2,0,1
40,2016,5.85,0.027941348301103616,-0.3194703390927969,2,0,0
49,2017,7.75,0.1922149534023102,0.0013576305083653755,2,0,0
54,2005,2.75,0.2986457398059091,1.3642850422478332,2,1,1
56,2015,4.5,-0.041470034136026034,0.0922366016986914,2,0,1
59,2014,19.99,3.2775509027327208,0.10422007667738181,1,0,0
72,2013,7.45,1.2704050939257232,0.4899799654227357,2,0,1
78,2010,5.25,1.7585984837335344,1.107128926825292,2,0,0
79,2012,14.5,2.658632742668315,1.338569430705579,1,0,0
81,2015,4.75,0.025627635553199243,0.0785044651351277,1,0,1
84,2005,3.49,0.674624061340361,4.12038142490046,1,0,1
85,2006,2.5,1.8627155573892291,2.7014968424450467,2,1,0
86,2010,35.0,9.829985404797753,1.0556977037407838,1,0,1
92,2005,3.51,0.7023886143152127,0.9785508691140214,2,0,1
97,2017,17.0,1.2738756630475798,-0.7263941761374259,2,0,1
99,2010,9.65,1.4832666667329206,0.3362777552346829,1,0,1
100,2016,1.75,-0.6627019069483358,-0.8729731619282743,2,1,1
102,2017,1.65,-0.6765841834357618,-0.8472575503860202,2,1,1
104,2017,1.35,-0.7124467310282787,-0.8446859892317948,2,1,1
112,2014,1.15,-0.6048590882507278,-0.7701107157592578,2,1,1
113,2016,1.15,-0.7205447256459437,-0.05007359257614284,2,1,1
115,2015,1.11,-0.7124467310282787,-0.5000967945655898,2,1,1
118,2015,1.1,-0.7124467310282787,-0.28151409645642983,2,1,1
146,2014,0.55,-0.7914600213692112,-0.564385823421225,2,1,1
148,2010,0.52,-0.7737601188477432,0.20708252284639825,2,1,1
149,2016,0.51,-0.7737601188477432,-0.33294531954093803,2,1,1
151,2016,0.5,-0.8188775174318774,-0.15293603874515926,2,1,1
155,2017,0.48,-0.8235049429276861,-0.839542866923344,2,1,0
174,2015,0.38,-0.7992109590746908,0.042502608975971946,2,1,1
176,2011,0.35,-0.7610346987342694,-0.1786516502874134,2,1,1
177,2016,0.35,-0.816563804683973,-0.33294531954093803,2,1,0
179,2010,0.31,-0.7610346987342694,4.527305261945088,2,1,1
182,2013,0.3,-0.8154069483100209,-0.1786516502874134,2,1,1
183,2013,0.27,-0.8281323684234947,-0.41009215416770034,2,1,1
196,2008,0.17,-0.8223480865537339,11.907685774572018,2,1,0
199,2007,0.12,-0.8154069483100209,0.4128074151844311,2,1,1
207,2015,5.15,-0.22309648484651506,-0.055293861719220426,2,0,0
212,2016,11.25,0.6908200505756912,-0.36712136728059375,2,0,1
217,2016,3.15,-0.3700172443384394,-0.564385823421225,2,0,1
220,2017,3.5,-0.3700172443384394,0.03962246048323949,2,0,1
239,2012,2.0,-0.3700172443384394,-0.34042856249973397,2,0,1
240,2012,5.35,0.2049403735157841,-0.11894000028629935,1,0,1
245,2012,5.2,0.2049403735157841,0.875688422945005,1,0,1
250,2016,12.9,0.6908200505756912,-0.026055211395677503,1,0,1
253,2014,7.2,0.2627831922133921,0.2842293574731606,1,0,1
254,2013,5.25,0.2627831922133921,0.4447462047199107,2,0,1
262,2015,4.0,-0.2115279211069935,0.07909592420059955,2,0,1
263,2016,6.6,0.008274789943916908,-0.5386187806558864,2,0,1
268,2017,4.8,-0.2115279211069935,-0.4615233772522086,2,0,1
269,2015,6.7,0.27435175595291367,-0.4659464624374763,2,0,1
271,2009,3.0,0.27435175595291367,0.8387093735472436,2,0,1
293,2010,3.25,0.2627831922133921,0.027073242050619485,2,0,1
297,2015,4.0,-0.19995935736747183,0.5928166959802099,2,0,1
300,2016,5.3,-0.19995935736747183,-0.8096098950881602,2,0,1
