,installment_commitment,residence_since,existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,duration_bin,credit_amount_bin,age_bin
3,2,4,1,2,1,3,5,2,1,3,1,0,1,0,3,0,1,4,4,4
4,3,4,2,2,1,2,1,2,0,3,2,1,1,0,3,0,1,2,3,5
14,2,4,1,1,1,3,1,2,0,0,2,3,1,2,3,0,1,2,2,2
20,4,4,3,1,3,1,1,2,0,3,2,3,1,1,3,1,1,1,2,4
22,1,3,2,2,1,1,1,2,2,3,2,2,1,2,2,0,0,1,2,4
23,3,4,1,1,0,1,2,0,2,3,2,0,1,1,3,0,1,1,2,4
30,3,3,1,1,0,3,3,3,2,2,2,2,0,1,3,1,1,2,2,3
31,2,2,1,1,1,3,5,2,0,3,2,3,2,1,3,0,1,2,3,2
38,2,2,1,1,2,3,0,2,0,3,2,3,1,1,3,1,1,1,2,3
40,4,2,1,1,3,3,7,1,3,3,2,3,0,1,0,0,1,3,2,2
45,4,4,2,1,3,1,1,2,2,0,2,3,1,1,0,0,1,1,2,3
46,4,4,1,1,3,3,7,1,3,3,2,3,1,1,3,0,1,3,2,3
51,1,2,2,1,0,2,2,2,3,3,2,3,1,1,0,1,1,3,4,2
60,2,1,1,1,0,3,3,2,0,2,2,2,0,1,3,1,1,1,2,2
61,4,4,2,1,0,1,7,4,3,3,1,2,1,1,3,1,1,2,2,4
62,4,4,1,1,0,4,3,2,3,3,2,1,1,0,0,1,1,3,2,5
63,2,2,1,1,0,4,3,2,0,3,2,3,1,1,3,1,1,4,5,2
70,1,2,1,1,3,3,2,2,0,0,2,0,0,1,3,0,1,3,4,2
71,4,2,2,1,3,1,7,4,3,3,2,0,1,2,2,1,1,1,1,4
79,2,1,1,1,0,3,5,2,2,2,2,0,1,1,3,0,1,3,3,2
81,4,3,1,1,3,3,7,1,3,3,2,0,2,1,3,1,1,2,2,4
91,4,3,1,1,1,1,2,2,3,3,2,2,1,1,3,0,1,1,2,5
94,4,4,1,1,0,3,1,3,3,3,2,2,1,1,3,1,1,1,2,5
96,4,2,1,1,3,1,4,4,1,0,2,3,1,1,3,0,1,1,2,5
97,4,4,1,1,0,3,3,0,0,3,2,3,1,1,3,0,1,2,2,3
103,4,3,1,1,0,1,5,2,1,3,2,3,1,2,3,1,1,1,2,3
109,1,2,1,1,0,3,3,1,3,2,2,2,1,1,3,1,1,2,2,3
112,3,3,1,1,0,3,1,2,1,3,2,2,1,2,2,0,1,2,4,2
114,3,1,1,1,1,3,7,1,3,2,2,2,1,1,3,0,1,1,2,3
128,4,2,2,1,0,1,2,2,4,3,2,3,1,1,0,1,1,1,2,3
141,4,1,1,1,0,3,7,2,2,0,2,1,1,1,0,1,1,3,3,2
143,2,2,1,1,1,3,5,2,0,3,2,3,1,1,3,0,1,2,2,2
147,4,3,2,1,3,1,1,0,1,0,2,3,1,1,3,1,1,1,1,5
154,4,4,1,1,0,2,3,0,1,3,2,3,1,2,0,1,1,2,4,3
157,4,1,1,1,1,0,9,2,3,2,2,3,0,1,2,0,1,1,1,4
164,4,4,1,1,3,3,1,1,3,3,2,0,1,1,3,0,1,3,1,3
167,4,1,1,1,0,3,5,3,2,0,2,2,1,1,3,0,1,1,2,1
168,2,4,1,1,3,3,5,2,1,0,2,0,1,2,3,1,1,2,3,2
173,4,2,1,1,0,3,7,2,0,3,1,2,1,1,3,0,0,1,2,3
176,2,1,1,1,1,3,5,2,0,1,2,3,1,1,3,0,1,1,2,4
183,4,4,1,1,3,1,5,3,0,3,2,2,1,1,3,1,1,2,3,4
192,4,2,1,2,0,3,3,2,0,3,2,3,1,1,3,1,1,3,3,3
194,4,4,1,1,0,3,7,0,0,3,1,0,1,2,3,0,1,4,3,2
197,4,4,4,1,0,3,5,0,2,0,2,3,0,2,3,0,1,1,1,2
