,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission
0,2014,3.35,-0.23582190495998887,-0.25579848491417573,2,0,1
4,2014,4.6,-0.08774428909411237,0.14150771341365026,1,0,1
5,2018,9.25,0.25468519759572694,-0.8968629650510284,1,0,1
6,2015,6.75,0.05686275764990751,-0.4667693620068284,2,0,1
9,2015,7.45,0.1494112675660804,0.13937331765564318,1,0,1
12,2015,7.5,0.26741061770920066,-0.564385823421225,2,0,0
13,2015,6.1,0.009431646317869044,-0.28151409645642983,2,0,1
14,2009,2.25,-0.04841117237973895,1.0409626583270721,2,0,1
15,2016,7.75,0.3657434094951342,0.15565129976189002,1,0,1
16,2015,7.25,0.3657434094951342,0.12165526130303009,1,0,1
17,2016,7.75,0.3657434094951342,0.15565129976189002,1,0,1
18,2015,3.25,-0.2936647236575968,-0.037215786805015784,0,0,1
19,2010,2.65,0.04066676841457741,0.11558637697905813,2,0,1
20,2016,2.85,-0.425546350288143,-0.30722970799868393,2,0,1
21,2017,4.9,-0.22193962847256293,-0.8884025288536268,2,0,1
23,2014,2.5,-0.4822323126117989,0.2142828940782294,2,0,1
24,2013,2.9,-0.3723309570863437,0.5125582723568348,2,0,1
26,2013,4.15,-0.20342992648932837,0.4677873926617704,2,0,1
27,2017,6.0,-0.13170483130429442,-0.5335270895705201,2,1,1
28,2010,1.95,-0.425546350288143,0.19530477276004585,2,0,1
29,2015,7.45,0.3183122981630958,0.20708252284639825,1,0,1
30,2012,3.1,-0.19070450637585457,0.37266534556697245,1,0,1
31,2011,2.35,-0.31680185113664006,0.443666149035136,2,0,1
33,2014,6.0,0.2685674740831528,0.20708252284639825,1,0,1
36,2015,4.65,-0.04956802875369108,0.30395323152606946,2,0,1
37,2003,0.35,-0.6187413647381538,2.315762669311235,2,1,1
38,2016,3.0,-0.4475266213932341,-0.6909323478206575,2,0,1
41,2014,2.55,-0.4220757811662866,0.25095335613748376,2,0,1
42,2008,1.95,-0.05535231062345186,0.5413854728957016,2,0,1
43,2014,5.5,0.049921619406194696,0.22714069984935645,1,0,1
44,2012,1.25,-0.5713102534061153,0.3356605805576688,2,0,1
45,2014,7.5,0.5103504562391542,-0.564385823421225,2,0,0
46,2013,2.65,-0.31680185113664006,0.7093598474897055,2,0,1
47,2006,1.05,-0.4024092228090998,0.7213947536914804,2,0,1
48,2015,5.8,0.009431646317869044,-0.28485712595692286,2,0,1
50,2012,14.9,2.658632742668315,1.7424845411997643,1,0,0
51,2015,23.0,2.658632742668315,0.0785044651351277,1,0,0
52,2017,18.0,1.4046004333041737,-0.564385823421225,1,0,0
53,2013,16.0,2.658632742668315,2.521487561649268,1,1,0
55,2009,3.6,0.8574073684248021,0.8499728114027509,2,0,0
57,2010,4.75,1.262307099308058,0.3356605805576688,2,0,1
58,2014,4.1,-0.09584228371177753,0.06526092519086683,2,0,1
60,2013,6.95,1.2704050939257232,0.07853018074666995,2,0,1
61,2015,4.5,0.008274789943916908,0.09362524472197312,2,0,1
62,2014,18.75,3.2775509027327208,1.0556977037407838,1,0,0
63,2015,23.5,3.2775509027327208,0.2585137459309065,1,0,0
64,2017,33.0,3.3087860248294287,-0.7958263273015119,1,0,0
65,2014,4.75,-0.07848943810249508,0.20708252284639825,1,0,1
66,2017,19.75,1.7956178877000037,-0.6672482695902414,2,0,0
67,2010,9.25,1.4832666667329206,0.5671010844379557,1,0,1
68,2011,4.35,0.7070160398110215,1.312853819163325,2,0,1
69,2016,14.25,1.53648205993472,-0.6415326580479873,2,0,1
70,2014,3.95,-0.10046970920758616,0.875688422945005,1,0,1
71,2011,4.5,0.5612521366930493,0.20708252284639825,1,0,1
73,2011,2.65,-0.22193962847256293,0.15565129976189002,2,0,1
74,2014,4.9,0.15056812394003252,1.1842757614520543,1,0,1
75,2015,3.95,-0.09584228371177753,-0.024357981033888733,2,0,1
76,2013,5.5,0.8157605389625244,0.9014040344872591,2,0,1
77,2004,1.5,0.5462130038316712,2.525447765826775,2,0,0
80,2016,14.73,0.8400545228155198,-0.35866093108319214,1,0,1
82,2017,23.0,2.0547537154652877,-0.564385823421225,1,0,0
83,2015,12.5,0.674624061340361,0.027073242050619485,1,0,1
87,2012,5.9,0.7070160398110215,0.48995424981119345,2,0,1
88,2013,3.45,-0.1826065117581895,0.2585137459309065,2,0,1
89,2014,4.75,-0.10046970920758616,0.0785044651351277,2,0,1
90,2009,3.8,1.2704050939257232,0.6442479190647181,2,0,1
91,2014,11.25,0.978877287689779,0.5476086508889272,1,0,1
93,2015,23.0,2.658632742668315,0.0785044651351277,1,0,0
94,2008,4.0,1.752814201863774,1.338569430705579,2,0,0
95,2012,5.85,1.2704050939257232,0.9014040344872591,2,0,1
96,2016,20.75,2.0547537154652877,-0.2043672618296675,1,0,0
98,2013,7.05,1.2704050939257232,0.20708252284639825,2,0,1
101,2017,1.7,-0.671956757939953,-0.9141181403958809,2,1,1
103,2017,1.45,-0.6974075981669007,-0.9192612627043317,2,1,1
105,2015,1.35,-0.6083296573725843,-0.39209122608812247,2,1,1
106,2014,1.35,-0.483389168985751,-0.5258124061078439,2,1,1
107,2013,1.25,-0.7089761619064222,-0.564385823421225,2,1,1
108,2016,1.2,-0.7089761619064222,-0.4872389887944627,2,1,1
109,2017,1.2,-0.7124467310282787,-0.6672482695902414,2,1,1
110,2016,1.2,-0.6765841834357618,-0.7958263273015119,2,1,1
