,class
3,1
4,0
14,1
20,1
22,1
23,1
30,1
31,1
38,1
40,1
45,1
46,1
51,1
60,1
61,1
62,0
63,0
70,1
71,1
79,1
81,1
91,1
94,1
96,1
97,1
103,1
109,1
112,1
114,1
128,1
141,1
143,0
147,1
154,1
157,1
164,1
167,1
168,1
173,1
176,1
183,1
192,0
194,0
197,0
207,1
210,1
212,0
218,1
223,1
228,0
231,1
235,0
244,1
245,1
247,1
258,1
262,1
263,1
266,1
268,0
270,1
273,0
276,1
277,1
280,1
289,0
292,1
299,1
301,0
302,0
306,1
307,0
308,0
309,1
310,1
311,1
313,0
315,0
318,1
320,0
327,1
328,1
336,1
338,1
345,1
348,1
351,0
354,1
364,0
366,1
369,1
371,1
372,1
379,1
382,1
384,1
385,1
386,1
394,1
398,0
403,1
405,0
407,1
414,0
417,1
426,1
430,1
434,1
436,1
438,1
440,1
442,1
446,0
465,1
469,1
482,1
492,1
494,1
496,0
498,1
502,1
512,1
515,1
520,1
521,0
530,1
534,1
535,0
537,1
542,0
545,0
547,1
548,0
549,1
564,1
568,1
569,0
570,0
573,1
576,1
584,1
586,1
590,1
592,1
594,0
596,0
599,1
604,1
610,0
611,0
615,1
624,0
627,0
630,1
634,0
636,1
637,1
638,1
647,0
648,0
649,0
651,0
652,0
656,0
657,1
660,1
662,1
665,1
666,1
669,1
676,1
677,0
684,1
696,1
705,1
709,1
715,1
717,1
721,0
725,1
727,0
728,0
739,0
750,1
754,0
755,0
757,0
764,1
766,0
767,1
773,1
774,1
779,1
790,0
791,1
793,1
795,1
801,1
811,1
813,0
814,0
821,1
823,1
830,1
832,0
834,0
835,0
839,1
840,0
844,1
846,0
856,1
858,0
861,0
863,1
864,0
867,1
869,1
871,1
872,1
876,1
877,1
878,0
879,1
880,1
882,1
885,0
891,1
896,1
902,1
907,1
909,1
911,0
914,0
918,0
919,0
921,1
922,0
927,0
931,0
943,1
944,1
945,1
954,1
958,0
961,1
963,0
965,1
971,1
973,0
977,1
983,0
984,1
985,1
988,1
992,1
995,1
997,1
